field_name,type,configuration
物品名称,text,
物品ID,text,
类别,tag,
基础价值,number,number_format:number
格子坐标,text,
形状草图,text,
描述,text,
显示颜色,text,
可供货,tag,
业务招牌,tag,
吸引卖家类别,tag,
物品标签,text,
资源路径,text,
数据状态,tag,
修改说明,text,
来源提交,text,
最近同步提交,text,
Notion来源,hyperlink,
属性,tag,
材料形态,tag,
灵石种类,tag,
品阶,tag,
储存宽度,number,number_format:number
储存高度,number,number_format:number

view_name,layout,filters,sorts,hidden_fields,is_default,is_current
全部物品,table,,,,true,true

_id,物品名称,物品ID,类别,基础价值,格子坐标,形状草图,描述,显示颜色,可供货,业务招牌,吸引卖家类别,物品标签,资源路径,数据状态,修改说明,来源提交,最近同步提交,Notion来源,属性,材料形态,灵石种类,品阶,储存宽度,储存高度
11,金凝草,mat_metal_herb,Material,5,"0,0; 0,1; 1,1",#.\n##,金属性草药。用于对应属性丹药配方；具体药性与采集方式待定。,"0.78,0.72,0.48,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金,草药,,,,
12,金罡木,mat_metal_wood,Material,7,"0,0; 0,1; 0,2",#\n#\n#,金属性木材。用于对应属性丹药配方；具体药性与采集方式待定。,"0.78,0.72,0.48,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金,木材,,,,
13,金灵果,mat_metal_fruit,Material,9,"0,0; 1,0",##,金属性果实。用于对应属性丹药配方；具体药性与采集方式待定。,"0.78,0.72,0.48,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金,果实,,,,
14,水凝草,mat_water_herb,Material,5,"0,0; 0,1; 1,1",#.\n##,水属性草药。用于对应属性丹药配方；具体药性与采集方式待定。,"0.34,0.64,0.88,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,水,草药,,,,
15,水灵木,mat_water_wood,Material,7,"0,0; 0,1; 0,2",#\n#\n#,水属性木材。用于对应属性丹药配方；具体药性与采集方式待定。,"0.34,0.64,0.88,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,水,木材,,,,
16,水灵果,mat_water_fruit,Material,9,"0,0; 1,0",##,水属性果实。用于对应属性丹药配方；具体药性与采集方式待定。,"0.34,0.64,0.88,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,水,果实,,,,
17,赤炎草,mat_fire_herb,Material,5,"0,0; 0,1; 1,1",#.\n##,火属性草药。用于对应属性丹药配方；具体药性与采集方式待定。,"0.88,0.40,0.29,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,火,草药,,,,
18,赤焰木,mat_fire_wood,Material,7,"0,0; 0,1; 0,2",#\n#\n#,火属性木材。用于对应属性丹药配方；具体药性与采集方式待定。,"0.88,0.40,0.29,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,火,木材,,,,
19,火灵果,mat_fire_fruit,Material,9,"0,0; 1,0",##,火属性果实。用于对应属性丹药配方；具体药性与采集方式待定。,"0.88,0.40,0.29,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,火,果实,,,,
20,厚土草,mat_earth_herb,Material,5,"0,0; 0,1; 1,1",#.\n##,土属性草药。用于对应属性丹药配方；具体药性与采集方式待定。,"0.64,0.50,0.32,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,土,草药,,,,
21,玄土木,mat_earth_wood,Material,7,"0,0; 0,1; 0,2",#\n#\n#,土属性木材。用于对应属性丹药配方；具体药性与采集方式待定。,"0.64,0.50,0.32,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,土,木材,,,,
22,地元果,mat_earth_fruit,Material,9,"0,0; 1,0",##,土属性果实。用于对应属性丹药配方；具体药性与采集方式待定。,"0.64,0.50,0.32,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,土,果实,,,,
23,金罡丹,pill_metal_guard,Medicine,48,"0,0; 1,0; 0,1; 1,1",##\n##,金属性基础丹药；候选效果为短时强化护体与金属性功法。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金,,,,,
24,水灵丹,pill_water_spirit,Medicine,48,"0,0; 1,0; 0,1; 1,1",##\n##,水属性基础丹药；候选效果为恢复灵力与稳定水属性修炼。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,水,,,,,
25,赤阳丹,pill_fire_yang,Medicine,48,"0,0; 1,0; 0,1; 1,1",##\n##,火属性基础丹药；候选效果为短时强化火属性功法。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,火,,,,,
26,厚土丹,pill_earth_guard,Medicine,48,"0,0; 1,0; 0,1; 1,1",##\n##,土属性基础丹药；候选效果为短时强化护体与土属性功法。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,土,,,,,
27,金水凝元丹,pill_metal_water,Medicine,72,"0,0; 1,0; 0,1; 1,1",##\n##,金水复合丹药；候选效果为辅助金水双属性修炼。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金|水,,,,,
28,四象归元丹,pill_four_aspects,Medicine,240,"0,0; 1,0; 0,1; 1,1",##\n##,四属性复合丹药；候选效果为高阶灵力调和。实际服用效果尚未实现。,"0.82,0.65,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增候选；待验收；未同步Unity。数值与形状为原型建议。,,,,金|水|火|土,,,,,
29,玄铁矿,mat_iron_ore,Material,12,"0,0; 1,0; 0,1; 1,1",##\n##,炼器原料；候选加工方向为熔炼成玄铁锭。矿石占4格；具体配方与设备耗时待定。,"0.43,0.46,0.52,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,金,,,,,
30,玄铁锭,mat_iron_ingot,Material,28,"0,0; 1,0",##,玄铁矿加工后的金属锭；候选方向为制作金罡剑。加工数量与空间收益待配方确认。,"0.58,0.61,0.68,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,金,,,,,
31,金罡剑,equipment_metal_sword,Equipment,100,"0,0; 0,1; 0,2; 0,3; 0,4",#\n#\n#\n#\n#,金属性法器；高单价长条商品，候选炼器产物。装备效果、正式配方与品阶待定。,"0.71,0.65,0.43,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,金,,,,,
32,残损法器,equipment_damaged_artifact,Equipment,40,"0,0; 1,0; 1,1; 1,2; 2,2",##.\n.#.\n.##,残损但仍有交易价值的法器；未来可鉴定或修复后出售。修复规则、损耗与产物待定。,"0.47,0.45,0.43,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,,,,,,
33,未鉴定古物,item_unidentified_relic,Equipment,50,"0,0; 1,0; 1,1",##\n.#,来历与真实用途尚不明确的古物；未来可接入鉴定及风险收益。当前价值仅为原型建议，不代表已实现隐藏价值。,"0.56,0.49,0.38,1",是,否,,,,草稿,2026-09-09用户授权新增；鉴定与隐藏价值机制待定；未同步Unity。,,,,,,,,,
34,符纸,mat_talisman_paper,Material,3,"0,0",#,画符用的基础纸材；未来用于符箓制作。不是木属性材料。,"0.80,0.74,0.60,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,,,,,,
35,护身符,talisman_protection,Equipment,24,"0,0; 1,0",##,可交易的护身符；未来接入符箓制作与使用效果。当前不赋予未实现的防护能力。,"0.77,0.66,0.45,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,,,,,,
36,炼丹炉,device_alchemy_furnace,ProductionEquipment,240,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,炼丹生产设备；未来按正式G-06接入放料、配方与跨日生产。设备摆放、燃料与制作耗时遵循现有设计，未在本条擅自确定。,"0.55,0.47,0.38,1",否,否,,,,草稿,2026-09-09确认生产设备分类与正式名称；沿用原物品ID，保留原型数值和形状；未同步Unity。,,,,,,,,,
37,药渣,mat_pill_residue,Material,1,"0,0",#,炼丹副产物候选；未来可回收或再次加工。是否产生、产生数量及回收配方待定，不改变现有炼丹产出。,"0.46,0.43,0.36,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,,,,,,
38,丹药匣,container_pill_case,StorageContainer,25,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,丹药收纳容器候选；外部3×3占9格。只能放在仓库，点击打开可拖动的有限格子储存弹窗；内部尺寸待定，不接纳生产设备。,"0.57,0.69,0.65,1",是,否,,,,草稿,2026-09-09补充储存弹窗与根层放置规则；内部宽高待定；保留原ID、价值及外形；未同步Unity。,,,,,,,,,
39,聚灵阵盘,device_spirit_gathering_array,CultivationEquipment,600,"1,0; 0,1; 1,1; 2,1; 1,2; 2,2",.#.\n###\n.##,修行器具候选；未来连接实体灵石供能与修炼。资源消耗、阵法效果及设备格子规则待定。,"0.42,0.61,0.74,1",否,否,,,,草稿,2026-09-09确认修行器具分类；沿用原物品ID，保留原型数值和形状；未同步Unity。,,,,,,,,,
40,灵兽卵,item_spirit_beast_egg,Equipment,80,"0,0; 1,0; 0,1; 1,1",##\n##,可交易的灵兽卵；未来接入孵化与灵兽养成。当前不自动孵化，具体品种与稀有度待定。,"0.73,0.62,0.48,1",是,否,,,,草稿,2026-09-09用户授权新增；原型价值与形状待验收；未同步Unity。,,,,,,,,,
41,收购灵材牌,sign_material_buy,BusinessSign,0,"0,0; 1,0; 1,1",##\n.#,定向收购灵材的业务招牌候选。与现有收购牌的替代或共存关系待定；不得重复叠加既有广告加成，不增加每日总客流。,"0.55,0.68,0.51,1",否,是,Material,,,草稿,2026-09-09用户授权新增；定向吸引效果待定；未同步Unity。,,,,,,,,,
42,丹药专营牌,sign_medicine,BusinessSign,0,"0,0; 1,0; 0,1; 1,1",##\n##,丹药经营方向招牌候选；未来影响丹药买家或相关交易需求。具体权重与叠加规则待定，不直接增加每日总客流。,"0.77,0.59,0.36,1",否,是,,,,草稿,2026-09-09用户授权新增；定向吸引效果待定；未同步Unity。,,,,,,,,,
43,法器专营牌,sign_equipment,BusinessSign,0,"0,0; 1,0; 0,1; 1,1",##\n##,法器经营方向招牌候选；未来影响法器买家或相关交易需求。具体权重与叠加规则待定，不直接增加每日总客流。,"0.55,0.59,0.76,1",否,是,,,,草稿,2026-09-09用户授权新增；定向吸引效果待定；未同步Unity。,,,,,,,,,
44,熔炉,device_smelting_furnace,ProductionEquipment,,,,炼器前段的金属熔炼设备候选，用于将矿石加工为金属锭。不同于炼丹炉；配方、耗时、供能及具体空间规则待定。,,否,否,,,,草稿,2026-09-09用户授权新增设备候选；价格与格子形状未定，不代表零值或零格；未同步Unity。,,,,,,,,,
45,炼器台,device_refining_table,ProductionEquipment,,,,炼器职业生产设备候选，用于将加工材料制成法器。具体配方、耗时、供能和设备交互待定。,,否,否,,,,草稿,2026-09-09用户授权新增设备候选；价格与格子形状未定，不代表零值或零格；未同步Unity。,,,,,,,,,
46,画符台,device_talisman_table,ProductionEquipment,,,,画符职业生产设备候选，用于将符纸等材料制成符箓。具体配方、耗时、供能和设备交互待定。,,否,否,,,,草稿,2026-09-09用户授权新增设备候选；价格与格子形状未定，不代表零值或零格；未同步Unity。,,,,,,,,,
47,修炼蒲团,device_cultivation_cushion,CultivationEquipment,,,,直接服务于角色修炼的器具候选。修炼加成、灵气消耗、使用时机及空间规则待定。,,否,否,,,,草稿,2026-09-09用户授权新增设备候选；价格与格子形状未定，不代表零值或零格；未同步Unity。,,,,,,,,,
48,灵米,ingredient_spirit_rice,FoodIngredient,,,,可供食用的灵米；前期从顾客收购，后期可由灵植师种植获得。食材品种不等于木属性。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；价格、形状与产出周期待定；未同步Unity。,,,,,,,,,
49,灵蔬,ingredient_spirit_vegetable,FoodIngredient,,,,可供烹饪的灵蔬；前期收购，后期可由灵植师种植获得。具体品种与属性待定。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；价格、形状与产出周期待定；未同步Unity。,,,,,,,,,
50,灵兽肉,ingredient_spirit_beast_meat,FoodIngredient,,,,可供烹饪的灵兽肉；前期收购，后期可由御兽师养殖获得。具体来源、产量与处理方式待定。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；价格、形状与产出周期待定；未同步Unity。,,,,,,,,,
51,灵米饭,food_spirit_rice,Food,,,,以灵米为主要原料的基础食物候选。具体配方、制作耗时、食用效果与价格待定。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；尚未创建正式配方；未同步Unity。,,,,,,,,,
52,灵蔬汤,food_spirit_vegetable_soup,Food,,,,以灵蔬为主要原料的食物候选。具体配方、制作耗时、食用效果与价格待定。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；尚未创建正式配方；未同步Unity。,,,,,,,,,
53,灵肉羹,food_spirit_meat_stew,Food,,,,以灵兽肉为主要原料的食物候选。具体配方、制作耗时、食用效果与价格待定。,,是,否,,,,草稿,2026-09-09厨师职业头脑风暴候选；尚未创建正式配方；未同步Unity。,,,,,,,,,
54,厨具,device_cooking_station,ProductionEquipment,,,,厨师职业的单一综合烹饪设备。采用类似炼丹炉的仓库型生产方向，统一处理烹饪配方，不拆分锅、碗、瓢、盆为多个生产设备；内部空间、供能、耗时和具体交互待定。,,否,否,,,,草稿,2026-09-09用户确认单一厨具方向；价格、形状及功能细则待定；未同步Unity。,,,,,,,,,
55,食材收购牌,sign_ingredient_buy,BusinessSign,0,,,定向收购食材的业务招牌候选。占用展示柜空间，吸引出售食材的顾客；与既有收购牌的叠加、权重和具体形状待定，不直接增加每日总客流。,,否,是,FoodIngredient,,,草稿,2026-09-09用户提出食材收购招牌；未同步Unity，效果与形状待定。,,,,,,,,,
56,设备匣,container_equipment_case,EquipmentContainer,,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,设备储存类多设备匣；外部3×3占9格，只能放在仓库。点击打开可拖动的6×6格子储存弹窗，可存放多个兼容生产设备；基础容量暂定，兼容范围、价格及解锁条件待定。,,否,否,,,,草稿,2026-09-09确认储存弹窗与根层放置；基础内部容量暂定6×6，保留原ID及外形；未同步Unity。,,,,,,,,6,6
57,储物匣,container_storage_case,StorageContainer,,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,基础物品储存匣；外部3×3占9格，只能放在仓库。点击打开可拖动的10×10格子储存弹窗；不接纳生产设备，具体价格与解锁条件待定。,,否,否,,,,草稿,2026-09-09依据用户提出的基础储物匣新增候选；内部10×10，价格与解锁条件待定；未同步Unity。,,,,,,,,10,10
58,腰包,container_waist_pouch,PortableContainer,,"0,0; 1,0; 0,1; 1,1; 0,2; 1,2",##\n##\n##,便携储存类腰包；外部2×3占6格，内部3×3。平时只能放在仓库，可打开储存弹窗；出门时可选择携带，预装物品随同一背包实例保留。,,否,否,,,,草稿,2026-09-09便携储存头脑风暴候选；出门选择、双手与场景格子交互待实现；未同步Unity。,,,,,,,,3,3
59,背包,container_backpack,PortableContainer,,"0,0; 1,0; 2,0; 0,1; 1,1; 2,1; 0,2; 1,2; 2,2",###\n###\n###,便携储存类背包；外部3×3占9格，内部尺寸待定。平时只能放在仓库，可打开储存弹窗；出门时可选择携带，预装物品随同一背包实例保留。,,否,否,,,,草稿,2026-09-09便携储存头脑风暴候选；出门选择、双手与场景格子交互待实现；未同步Unity。,,,,,,,,,
60,储物戒,container_storage_ring,PortableContainer,,"0,0; 1,0; 0,1; 1,1",##\n##,便携储存类储物戒；外部2×2占4格，内部尺寸待定。平时只能放在仓库，可打开储存弹窗；出门时可选择携带，预装物品随同一背包实例保留。,,否,否,,,,草稿,2026-09-09便携储存头脑风暴候选；出门选择、双手与场景格子交互待实现；未同步Unity。,,,,,,,,,
